Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
20,1090.50,2.000,-9.354,0.5159,4.3574,0.0000,8.2091,18.1847,37.1972,0.0000,26.3096,0.0000,10.0993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.312,-3.784,1.121,0.118,0.521,0.000000,-0.140513,0.453152,0.487479,0.199882
20,1090.50,2.000,-9.354,0.6745,3.9857,0.0000,2.9088,42.0626,22.3634,0.0000,16.9910,0.0000,15.6742,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.993,-6.929,1.514,0.169,0.768,0.000000,0.040135,0.237767,0.660286,0.061811
21,1090.00,2.000,-9.372,0.5164,4.3586,0.0000,8.2487,18.1176,37.1898,0.0000,26.3632,0.0000,10.0807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.312,-3.783,1.121,0.118,0.521,0.000000,-0.140954,0.453246,0.486781,0.200928
21,1090.00,2.000,-9.372,0.7088,3.9847,0.0000,2.9020,42.1441,22.2884,0.0000,16.9771,0.0000,15.6885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.457,-7.289,1.591,0.178,0.807,0.000000,0.040875,0.236872,0.660612,0.061641
22,1089.50,2.000,-9.389,0.5171,4.3599,0.0000,8.2883,18.0509,37.1818,0.0000,26.4167,0.0000,10.0623,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.314,-3.785,1.123,0.119,0.522,0.000000,-0.141392,0.453332,0.486087,0.201973
22,1089.50,2.000,-9.389,0.7428,3.9837,0.0000,2.8952,42.2250,22.2139,0.0000,16.9633,0.0000,15.7026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.918,-7.647,1.667,0.186,0.846,0.000000,0.041610,0.235983,0.660934,0.061472
23,1089.00,2.000,-9.407,0.5179,4.3610,0.0000,8.3278,17.9848,37.1733,0.0000,26.4701,0.0000,10.0440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.318,-3.787,1.124,0.119,0.522,0.000000,-0.141827,0.453411,0.485397,0.203019
23,1089.00,2.000,-9.407,0.7766,3.9827,0.0000,2.8885,42.3054,22.1399,0.0000,16.9496,0.0000,15.7166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.377,-8.003,1.743,0.195,0.885,0.000000,0.042342,0.235100,0.661253,0.061305
24,1088.50,2.000,-9.424,0.5189,4.3622,0.0000,8.3674,17.9191,37.1643,0.0000,26.5234,0.0000,10.0258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.324,-3.791,1.126,0.119,0.523,0.000000,-0.142259,0.453483,0.484712,0.204065
24,1088.50,2.000,-9.424,0.8103,3.9817,0.0000,2.8818,42.3854,22.0662,0.0000,16.9361,0.0000,15.7305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.834,-8.358,1.818,0.203,0.924,0.000000,0.043070,0.234223,0.661568,0.061139
25,1088.00,2.000,-9.441,0.5201,4.3634,0.0000,8.4069,17.8540,37.1548,0.0000,26.5765,0.0000,10.0077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.332,-3.797,1.128,0.119,0.524,0.000000,-0.142688,0.453547,0.484030,0.205111
25,1088.00,2.000,-9.441,0.8437,3.9807,0.0000,2.8752,42.4648,21.9930,0.0000,16.9227,0.0000,15.7442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.288,-8.712,1.893,0.212,0.962,0.000000,0.043794,0.233352,0.661880,0.060974
26,1087.50,2.000,-9.459,0.5214,4.3646,0.0000,8.4465,17.7893,37.1449,0.0000,26.6296,0.0000,9.9898,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.342,-3.803,1.131,0.119,0.525,0.000000,-0.143114,0.453604,0.483353,0.206157
26,1087.50,2.000,-9.459,0.8769,3.9798,0.0000,2.8687,42.5438,21.9202,0.0000,16.9095,0.0000,15.7579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.740,-9.064,1.967,0.220,1.000,0.000000,0.044514,0.232487,0.662189,0.060810
27,1087.00,2.000,-9.476,0.5229,4.3657,0.0000,8.4860,17.7251,37.1344,0.0000,26.6825,0.0000,9.9720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.353,-3.811,1.134,0.120,0.527,0.000000,-0.143537,0.453653,0.482680,0.207203
27,1087.00,2.000,-9.476,0.9099,3.9788,0.0000,2.8622,42.6222,21.8479,0.0000,16.8963,0.0000,15.7714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.191,-9.415,2.041,0.229,1.038,0.000000,0.045231,0.231627,0.662494,0.060648
28,1086.50,2.000,-9.494,0.5246,4.3669,0.0000,8.5256,17.6613,37.1235,0.0000,26.7353,0.0000,9.9543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.365,-3.820,1.137,0.120,0.528,0.000000,-0.143957,0.453696,0.482012,0.208249
28,1086.50,2.000,-9.494,0.9428,3.9779,0.0000,2.8557,42.7002,21.7759,0.0000,16.8833,0.0000,15.7848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.639,-9.764,2.114,0.237,1.076,0.000000,0.045944,0.230773,0.662796,0.060487
29,1086.00,2.000,-9.511,0.5264,4.3680,0.0000,8.5651,17.5980,37.1122,0.0000,26.7879,0.0000,9.9367,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.380,-3.829,1.141,0.121,0.530,0.000000,-0.144374,0.453732,0.481347,0.209296
29,1086.00,2.000,-9.511,0.9754,3.9769,0.0000,2.8492,42.7778,21.7043,0.0000,16.8705,0.0000,15.7982,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.085,-10.112,2.187,0.245,1.114,0.000000,0.046654,0.229924,0.663095,0.060327
30,1085.50,2.000,-9.529,0.5283,4.3692,0.0000,8.6047,17.5351,37.1004,0.0000,26.8405,0.0000,9.9193,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.396,-3.840,1.145,0.121,0.531,0.000000,-0.144789,0.453761,0.480686,0.210342
30,1085.50,2.000,-9.529,1.0079,3.9760,0.0000,2.8428,42.8549,21.6332,0.0000,16.8577,0.0000,15.8114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.529,-10.459,2.260,0.253,1.151,0.000000,0.047360,0.229081,0.663391,0.060168
31,1085.00,2.000,-9.546,0.5304,4.3703,0.0000,8.6442,17.4727,37.0881,0.0000,26.8930,0.0000,9.9020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.413,-3.853,1.149,0.121,0.533,0.000000,-0.145200,0.453783,0.480029,0.211389
31,1085.00,2.000,-9.546,1.0402,3.9750,0.0000,2.8365,42.9315,21.5624,0.0000,16.8451,0.0000,15.8245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.972,-10.805,2.332,0.262,1.188,0.000000,0.048063,0.228243,0.663683,0.060010
32,1084.50,2.000,-9.564,0.5327,4.3714,0.0000,8.6838,17.4107,37.0754,0.0000,26.9454,0.0000,9.8848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.432,-3.866,1.153,0.122,0.535,0.000000,-0.145610,0.453798,0.479375,0.212436
32,1084.50,2.000,-9.564,1.0723,3.9741,0.0000,2.8302,43.0077,21.4920,0.0000,16.8326,0.0000,15.8375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-14.412,-11.149,2.404,0.270,1.225,0.000000,0.048763,0.227411,0.663973,0.059854
33,1084.00,2.000,-9.582,0.5350,4.3725,0.0000,8.7233,17.3491,37.0623,0.0000,26.9976,0.0000,9.8677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.452,-3.880,1.158,0.122,0.538,0.000000,-0.146016,0.453807,0.478726,0.213483
