Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
119,1041.00,2.000,-11.089,1.7416,3.4476,34.1256,10.7329,15.3305,3.3875,0.0000,4.4821,0.0000,8.9205,0.0000,0.0000,22.8480,0.1729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.944,-22.003,3.760,0.505,1.961,0.096268,0.051739,0.143235,0.598536,0.018317,0.079093,0.012812
119,1041.00,2.000,-11.089,2.1621,3.3234,44.7467,3.3180,8.9929,3.0643,0.0000,5.4187,0.0000,12.3088,0.0000,0.0000,21.9268,0.2238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-33.782,-27.530,4.757,0.651,2.485,0.382617,0.105163,0.169477,0.240274,-0.053644,0.139882,0.016230
120,1040.50,2.000,-11.109,1.7440,3.4480,34.1034,10.7532,15.3465,3.3756,0.0000,4.4887,0.0000,8.9122,0.0000,0.0000,22.8473,0.1730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.980,-22.035,3.764,0.506,1.963,0.095261,0.051720,0.143453,0.599672,0.018376,0.078696,0.012822
120,1040.50,2.000,-11.109,2.2926,3.3232,44.7801,3.3008,8.9726,3.0510,0.0000,5.4350,0.0000,12.3207,0.0000,0.0000,21.9157,0.2241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35.818,-29.192,5.044,0.690,2.635,0.382769,0.105640,0.169976,0.239506,-0.053851,0.139709,0.016251
121,1040.00,2.000,-11.130,1.7466,3.4483,34.0813,10.7734,15.3624,3.3638,0.0000,4.4954,0.0000,8.9040,0.0000,0.0000,22.8466,0.1732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.017,-22.069,3.769,0.507,1.966,0.094260,0.051701,0.143672,0.600800,0.018433,0.078303,0.012832
121,1040.00,2.000,-11.130,2.4220,3.3230,44.8134,3.2838,8.9524,3.0377,0.0000,5.4513,0.0000,12.3325,0.0000,0.0000,21.9046,0.2244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.838,-30.842,5.328,0.729,2.783,0.382912,0.106118,0.170475,0.238742,-0.054057,0.139537,0.016272
122,1039.50,2.000,-11.151,1.7493,3.4487,34.0593,10.7934,15.3782,3.3520,0.0000,4.5020,0.0000,8.8959,0.0000,0.0000,22.8458,0.1733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.058,-22.105,3.774,0.507,1.969,0.093265,0.051682,0.143890,0.601920,0.018490,0.077911,0.012842
122,1039.50,2.000,-11.151,2.5506,3.3228,44.8464,3.2669,8.9323,3.0245,0.0000,5.4676,0.0000,12.3442,0.0000,0.0000,21.8934,0.2247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.843,-32.480,5.609,0.768,2.931,0.383046,0.106597,0.170976,0.237985,-0.054260,0.139364,0.016293
123,1039.00,2.000,-11.171,1.7522,3.4491,34.0375,10.8133,15.3939,3.3403,0.0000,4.5086,0.0000,8.8878,0.0000,0.0000,22.8451,0.1734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.101,-22.142,3.779,0.508,1.972,0.092275,0.051663,0.144108,0.603033,0.018545,0.077523,0.012852
123,1039.00,2.000,-11.171,2.6781,3.3226,44.8792,3.2501,8.9123,3.0114,0.0000,5.4840,0.0000,12.3558,0.0000,0.0000,21.8822,0.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-41.834,-34.106,5.889,0.806,3.078,0.383170,0.107078,0.171477,0.237232,-0.054462,0.139191,0.016314
124,1038.50,2.000,-11.192,1.7553,3.4495,34.0159,10.8331,15.4095,3.3286,0.0000,4.5153,0.0000,8.8797,0.0000,0.0000,22.8444,0.1736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.145,-22.182,3.784,0.509,1.975,0.091292,0.051644,0.144325,0.604140,0.018599,0.077137,0.012863
124,1038.50,2.000,-11.192,2.8048,3.3224,44.9118,3.2334,8.8924,2.9984,0.0000,5.5003,0.0000,12.3674,0.0000,0.0000,21.8709,0.2253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43.809,-35.721,6.167,0.844,3.224,0.383285,0.107559,0.171980,0.236484,-0.054661,0.139018,0.016335
125,1038.00,2.000,-11.213,1.7584,3.4498,33.9944,10.8527,15.4250,3.3170,0.0000,4.5219,0.0000,8.8716,0.0000,0.0000,22.8437,0.1737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.192,-22.223,3.790,0.510,1.979,0.090314,0.051625,0.144543,0.605239,0.018653,0.076753,0.012873
125,1038.00,2.000,-11.213,2.9305,3.3222,44.9442,3.2169,8.8726,2.9854,0.0000,5.5168,0.0000,12.3789,0.0000,0.0000,21.8596,0.2256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-45.770,-37.324,6.442,0.882,3.368,0.383391,0.108043,0.172483,0.235741,-0.054859,0.138846,0.016355
126,1037.50,2.000,-11.233,1.7617,3.4502,33.9731,10.8722,15.4404,3.3054,0.0000,4.5285,0.0000,8.8636,0.0000,0.0000,22.8430,0.1738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.241,-22.266,3.796,0.511,1.982,0.089341,0.051607,0.144760,0.606331,0.018705,0.076372,0.012884
126,1037.50,2.000,-11.233,3.0553,3.3220,44.9764,3.2005,8.8529,2.9725,0.0000,5.5332,0.0000,12.3904,0.0000,0.0000,21.8483,0.2259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47.717,-38.916,6.715,0.920,3.512,0.383488,0.108527,0.172988,0.235003,-0.055054,0.138673,0.016376
127,1037.00,2.000,-11.254,1.7651,3.4506,33.9519,10.8915,15.4557,3.2939,0.0000,4.5351,0.0000,8.8556,0.0000,0.0000,22.8423,0.1740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.292,-22.310,3.803,0.512,1.986,0.088374,0.051588,0.144977,0.607417,0.018756,0.075993,0.012895
127,1037.00,2.000,-11.254,3.1793,3.3218,45.0083,3.1842,8.8333,2.9596,0.0000,5.5497,0.0000,12.4018,0.0000,0.0000,21.8369,0.2262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.650,-40.496,6.987,0.957,3.654,0.383576,0.109013,0.173493,0.234269,-0.055248,0.138500,0.016396
128,1036.50,2.000,-11.275,1.7686,3.4510,33.9309,10.9107,15.4709,3.2824,0.0000,4.5417,0.0000,8.8476,0.0000,0.0000,22.8416,0.1741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.344,-22.355,3.809,0.513,1.990,0.087413,0.051570,0.145194,0.608496,0.018806,0.075617,0.012906
128,1036.50,2.000,-11.275,3.3024,3.3216,45.0401,3.1680,8.8138,2.9468,0.0000,5.5662,0.0000,12.4131,0.0000,0.0000,21.8254,0.2265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-51.569,-42.066,7.256,0.994,3.796,0.383655,0.109500,0.174000,0.233541,-0.055440,0.138328,0.016417
129,1036.00,2.000,-11.295,1.7723,3.4513,33.9100,10.9298,15.4861,3.2710,0.0000,4.5483,0.0000,8.8396,0.0000,0.0000,22.8408,0.1743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.398,-22.402,3.816,0.513,1.994,0.086456,0.051551,0.145411,0.609568,0.018855,0.075243,0.012917
129,1036.00,2.000,-11.295,3.4246,3.3215,45.0717,3.1519,8.7944,2.9341,0.0000,5.5828,0.0000,12.4244,0.0000,0.0000,21.8139,0.2268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.474,-43.625,7.524,1.031,3.936,0.383724,0.109989,0.174507,0.232817,-0.055630,0.138155,0.016437
